Geography,Gender,Age group,Reference period,Net-migration
,,,2019 / 2020,-4
,,,2020 / 2021,0
,,,2021 / 2022,-3
,,,2022 / 2023,0
,,,2023 / 2024,0
,Women,0 years,2014 / 2015,14
,,,2015 / 2016,7
,,,2016 / 2017,0
,,,2017 / 2018,-8
,,,2018 / 2019,-13
,,,2019 / 2020,-3
,,,2020 / 2021,12
,,,2021 / 2022,16
,,,2022 / 2023,-3
,,,2023 / 2024,5
,,1 year,2014 / 2015,19
,,,2015 / 2016,12
,,,2016 / 2017,-1
,,,2017 / 2018,-9
,,,2018 / 2019,-17
,,,2019 / 2020,-6
,,,2020 / 2021,9
,,,2021 / 2022,19
,,,2022 / 2023,-3
,,,2023 / 2024,4
,,2 years,2014 / 2015,19
,,,2015 / 2016,15
,,,2016 / 2017,-1
,,,2017 / 2018,-12
,,,2018 / 2019,-17
,,,2019 / 2020,-6
,,,2020 / 2021,7
,,,2021 / 2022,21
,,,2022 / 2023,-5
,,,2023 / 2024,2
,,3 years,2014 / 2015,22
,,,2015 / 2016,18
,,,2016 / 2017,-2
,,,2017 / 2018,-13
,,,2018 / 2019,-20
,,,2019 / 2020,-9
,,,2020 / 2021,6
,,,2021 / 2022,22
,,,2022 / 2023,1
,,,2023 / 2024,6
,,4 years,2014 / 2015,22
,,,2015 / 2016,22
,,,2016 / 2017,-4
,,,2017 / 2018,-13
,,,2018 / 2019,-20
,,,2019 / 2020,-11
,,,2020 / 2021,5
,,,2021 / 2022,14
,,,2022 / 2023,6
,,,2023 / 2024,15
,,5 to 9 years,2014 / 2015,124
,,,2015 / 2016,100
,,,2016 / 2017,-25
,,,2017 / 2018,-65
,,,2018 / 2019,-84
,,,2019 / 2020,-54
,,,2020 / 2021,22
,,,2021 / 2022,62
,,,2022 / 2023,17
,,,2023 / 2024,9
,,10 to 14 years,2014 / 2015,42
,,,2015 / 2016,31
,,,2016 / 2017,-32
,,,2017 / 2018,-54
,,,2018 / 2019,-58
,,,2019 / 2020,-34
,,,2020 / 2021,11
,,,2021 / 2022,65
,,,2022 / 2023,20
,,,2023 / 2024,17
,,15 to 19 years,2014 / 2015,-152
,,,2015 / 2016,-102
,,,2016 / 2017,-15
,,,2017 / 2018,-60
,,,2018 / 2019,-52
,,,2019 / 2020,-27
,,,2020 / 2021,28
,,,2021 / 2022,-28
,,,2022 / 2023,26
,,,2023 / 2024,-17
,,20 to 24 years,2014 / 2015,-177
,,,2015 / 2016,-57
,,,2016 / 2017,-220
,,,2017 / 2018,-353
,,,2018 / 2019,-264
,,,2019 / 2020,-272
,,,2020 / 2021,-65
,,,2021 / 2022,-125
,,,2022 / 2023,-135
,,,2023 / 2024,-131
,,25 to 29 years,2014 / 2015,-70
,,,2015 / 2016,-103
,,,2016 / 2017,-119
,,,2017 / 2018,-286
,,,2018 / 2019,-225
,,,2019 / 2020,-182
,,,2020 / 2021,33
,,,2021 / 2022,-74
,,,2022 / 2023,-117
,,,2023 / 2024,-99
,,30 to 34 years,2014 / 2015,83
,,,2015 / 2016,55
,,,2016 / 2017,-108
,,,2017 / 2018,-218
,,,2018 / 2019,-181
,,,2019 / 2020,-161
,,,2020 / 2021,7
,,,2021 / 2022,37
,,,2022 / 2023,-68
,,,2023 / 2024,-41
,,35 to 39 years,2014 / 2015,47
,,,2015 / 2016,34
,,,2016 / 2017,-52
,,,2017 / 2018,-119
,,,2018 / 2019,-95
,,,2019 / 2020,-80
,,,2020 / 2021,18
,,,2021 / 2022,97
,,,2022 / 2023,80
,,,2023 / 2024,63
,,40 to 44 years,2014 / 2015,0
,,,2015 / 2016,-20
,,,2016 / 2017,-53
,,,2017 / 2018,-109
,,,2018 / 2019,-101
,,,2019 / 2020,-74
,,,2020 / 2021,1
,,,2021 / 2022,92
,,,2022 / 2023,48
,,,2023 / 2024,44
,,45 to 49 years,2014 / 2015,118
,,,2015 / 2016,111
,,,2016 / 2017,31
,,,2017 / 2018,25
,,,2018 / 2019,22
,,,2019 / 2020,25
,,,2020 / 2021,71
,,,2021 / 2022,92
,,,2022 / 2023,64
,,,2023 / 2024,54
,,50 to 54 years,2014 / 2015,-1
,,,2015 / 2016,-20
,,,2016 / 2017,7
,,,2017 / 2018,-4
,,,2018 / 2019,-14
,,,2019 / 2020,1
,,,2020 / 2021,63
,,,2021 / 2022,132
,,,2022 / 2023,154
,,,2023 / 2024,105
,,55 to 59 years,2014 / 2015,66
,,,2015 / 2016,61
,,,2016 / 2017,37
,,,2017 / 2018,36
,,,2018 / 2019,33
,,,2019 / 2020,34
,,,2020 / 2021,75
,,,2021 / 2022,179
,,,2022 / 2023,223
,,,2023 / 2024,147
,,60 to 64 years,2014 / 2015,60
,,,2015 / 2016,50
,,,2016 / 2017,18
,,,2017 / 2018,7
,,,2018 / 2019,10
,,,2019 / 2020,15
,,,2020 / 2021,61
,,,2021 / 2022,175
,,,2022 / 2023,155
,,,2023 / 2024,117
,,65 to 69 years,2014 / 2015,-47
,,,2015 / 2016,-28
,,,2016 / 2017,-22
,,,2017 / 2018,-6
,,,2018 / 2019,1
,,,2019 / 2020,-6
,,,2020 / 2021,29
,,,2021 / 2022,92
,,,2022 / 2023,123
,,,2023 / 2024,74
,,70 to 74 years,2014 / 2015,-13
,,,2015 / 2016,-2
,,,2016 / 2017,-44
,,,2017 / 2018,-42
,,,2018 / 2019,-44
,,,2019 / 2020,-43
,,,2020 / 2021,-20
,,,2021 / 2022,52
,,,2022 / 2023,43
,,,2023 / 2024,40
,,75 to 79 years,2014 / 2015,5
,,,2015 / 2016,14
,,,2016 / 2017,17
,,,2017 / 2018,18
,,,2018 / 2019,26
,,,2019 / 2020,27
,,,2020 / 2021,27
,,,2021 / 2022,5
,,,2022 / 2023,2
,,,2023 / 2024,-5
,,80 to 84 years,2014 / 2015,-10
,,,2015 / 2016,0
,,,2016 / 2017,-6
,,,2017 / 2018,-3
,,,2018 / 2019,-6
,,,2019 / 2020,-6
,,,2020 / 2021,-1
,,,2021 / 2022,-9
,,,2022 / 2023,-4
,,,2023 / 2024,-10
,,85 to 89 years,2014 / 2015,6
,,,2015 / 2016,8
,,,2016 / 2017,-5
,,,2017 / 2018,-4
,,,2018 / 2019,-6
