Geography,Gender,Age group,Reference period,Net-migration
,,10 to 14 years,2014 / 2015,16
,,,2015 / 2016,44
,,,2016 / 2017,74
,,,2017 / 2018,68
,,,2018 / 2019,71
,,,2019 / 2020,94
,,,2020 / 2021,112
,,,2021 / 2022,293
,,,2022 / 2023,191
,,,2023 / 2024,60
,,15 to 19 years,2014 / 2015,-98
,,,2015 / 2016,12
,,,2016 / 2017,65
,,,2017 / 2018,59
,,,2018 / 2019,77
,,,2019 / 2020,218
,,,2020 / 2021,346
,,,2021 / 2022,242
,,,2022 / 2023,107
,,,2023 / 2024,45
,,20 to 24 years,2014 / 2015,-606
,,,2015 / 2016,-222
,,,2016 / 2017,-44
,,,2017 / 2018,-89
,,,2018 / 2019,-32
,,,2019 / 2020,592
,,,2020 / 2021,"1,165"
,,,2021 / 2022,530
,,,2022 / 2023,352
,,,2023 / 2024,181
,,25 to 29 years,2014 / 2015,-304
,,,2015 / 2016,62
,,,2016 / 2017,183
,,,2017 / 2018,94
,,,2018 / 2019,105
,,,2019 / 2020,180
,,,2020 / 2021,537
,,,2021 / 2022,305
,,,2022 / 2023,-267
,,,2023 / 2024,-313
,,30 to 34 years,2014 / 2015,-161
,,,2015 / 2016,63
,,,2016 / 2017,155
,,,2017 / 2018,97
,,,2018 / 2019,98
,,,2019 / 2020,146
,,,2020 / 2021,374
,,,2021 / 2022,359
,,,2022 / 2023,166
,,,2023 / 2024,-110
,,35 to 39 years,2014 / 2015,-196
,,,2015 / 2016,-14
,,,2016 / 2017,115
,,,2017 / 2018,79
,,,2018 / 2019,92
,,,2019 / 2020,129
,,,2020 / 2021,283
,,,2021 / 2022,475
,,,2022 / 2023,331
,,,2023 / 2024,73
,,40 to 44 years,2014 / 2015,-141
,,,2015 / 2016,11
,,,2016 / 2017,47
,,,2017 / 2018,13
,,,2018 / 2019,18
,,,2019 / 2020,41
,,,2020 / 2021,175
,,,2021 / 2022,349
,,,2022 / 2023,296
,,,2023 / 2024,72
,,45 to 49 years,2014 / 2015,-113
,,,2015 / 2016,-14
,,,2016 / 2017,53
,,,2017 / 2018,87
,,,2018 / 2019,136
,,,2019 / 2020,169
,,,2020 / 2021,179
,,,2021 / 2022,327
,,,2022 / 2023,232
,,,2023 / 2024,78
,,50 to 54 years,2014 / 2015,-35
,,,2015 / 2016,41
,,,2016 / 2017,95
,,,2017 / 2018,120
,,,2018 / 2019,161
,,,2019 / 2020,186
,,,2020 / 2021,184
,,,2021 / 2022,387
,,,2022 / 2023,251
,,,2023 / 2024,108
,,55 to 59 years,2014 / 2015,107
,,,2015 / 2016,147
,,,2016 / 2017,167
,,,2017 / 2018,188
,,,2018 / 2019,216
,,,2019 / 2020,239
,,,2020 / 2021,232
,,,2021 / 2022,466
,,,2022 / 2023,411
,,,2023 / 2024,194
,,60 to 64 years,2014 / 2015,57
,,,2015 / 2016,98
,,,2016 / 2017,121
,,,2017 / 2018,142
,,,2018 / 2019,188
,,,2019 / 2020,197
,,,2020 / 2021,199
,,,2021 / 2022,524
,,,2022 / 2023,421
,,,2023 / 2024,240
,,65 to 69 years,2014 / 2015,40
,,,2015 / 2016,57
,,,2016 / 2017,79
,,,2017 / 2018,119
,,,2018 / 2019,123
,,,2019 / 2020,164
,,,2020 / 2021,138
,,,2021 / 2022,339
,,,2022 / 2023,252
,,,2023 / 2024,153
,,70 to 74 years,2014 / 2015,49
,,,2015 / 2016,54
,,,2016 / 2017,38
,,,2017 / 2018,54
,,,2018 / 2019,66
,,,2019 / 2020,79
,,,2020 / 2021,86
,,,2021 / 2022,131
,,,2022 / 2023,79
,,,2023 / 2024,24
,,75 to 79 years,2014 / 2015,-12
,,,2015 / 2016,-5
,,,2016 / 2017,26
,,,2017 / 2018,38
,,,2018 / 2019,45
,,,2019 / 2020,48
,,,2020 / 2021,44
,,,2021 / 2022,70
,,,2022 / 2023,37
,,,2023 / 2024,18
,,80 to 84 years,2014 / 2015,-26
,,,2015 / 2016,-28
,,,2016 / 2017,19
,,,2017 / 2018,27
,,,2018 / 2019,26
,,,2019 / 2020,29
,,,2020 / 2021,34
,,,2021 / 2022,19
,,,2022 / 2023,30
,,,2023 / 2024,4
,,85 to 89 years,2014 / 2015,13
,,,2015 / 2016,12
,,,2016 / 2017,-4
,,,2017 / 2018,8
,,,2018 / 2019,0
,,,2019 / 2020,4
,,,2020 / 2021,6
,,,2021 / 2022,5
,,,2022 / 2023,6
,,,2023 / 2024,0
,,90 years and older,2014 / 2015,1
,,,2015 / 2016,1
,,,2016 / 2017,-2
,,,2017 / 2018,0
,,,2018 / 2019,1
,,,2019 / 2020,-1
,,,2020 / 2021,0
,,,2021 / 2022,2
,,,2022 / 2023,1
,,,2023 / 2024,-3
,Women,0 years,2014 / 2015,-23
,,,2015 / 2016,-10
,,,2016 / 2017,26
,,,2017 / 2018,22
,,,2018 / 2019,23
,,,2019 / 2020,24
,,,2020 / 2021,32
,,,2021 / 2022,53
,,,2022 / 2023,23
,,,2023 / 2024,-7
,,1 year,2014 / 2015,-15
,,,2015 / 2016,0
,,,2016 / 2017,26
,,,2017 / 2018,22
,,,2018 / 2019,23
,,,2019 / 2020,22
,,,2020 / 2021,35
,,,2021 / 2022,53
,,,2022 / 2023,37
,,,2023 / 2024,11
,,2 years,2014 / 2015,-7
,,,2015 / 2016,4
,,,2016 / 2017,24
,,,2017 / 2018,18
,,,2018 / 2019,21
,,,2019 / 2020,22
,,,2020 / 2021,40
,,,2021 / 2022,56
,,,2022 / 2023,22
,,,2023 / 2024,-1
,,3 years,2014 / 2015,-3
,,,2015 / 2016,9
,,,2016 / 2017,21
,,,2017 / 2018,20
,,,2018 / 2019,20
,,,2019 / 2020,22
,,,2020 / 2021,39
,,,2021 / 2022,81
,,,2022 / 2023,35
,,,2023 / 2024,15
,,4 years,2014 / 2015,1
,,,2015 / 2016,9
,,,2016 / 2017,19
,,,2017 / 2018,18
,,,2018 / 2019,19
,,,2019 / 2020,21
,,,2020 / 2021,38
,,,2021 / 2022,104
,,,2022 / 2023,71
,,,2023 / 2024,42
,,5 to 9 years,2014 / 2015,14
,,,2015 / 2016,42
,,,2016 / 2017,91
,,,2017 / 2018,65
,,,2018 / 2019,67
,,,2019 / 2020,78
,,,2020 / 2021,136
,,,2021 / 2022,349
,,,2022 / 2023,197
,,,2023 / 2024,39
,,10 to 14 years,2014 / 2015,-7
,,,2015 / 2016,18
,,,2016 / 2017,70
,,,2017 / 2018,51
,,,2018 / 2019,59
,,,2019 / 2020,65
,,,2020 / 2021,98
,,,2021 / 2022,288
,,,2022 / 2023,214
,,,2023 / 2024,67
,,15 to 19 years,2014 / 2015,78
,,,2015 / 2016,129
,,,2016 / 2017,90
,,,2017 / 2018,100
,,,2018 / 2019,115
,,,2019 / 2020,186
,,,2020 / 2021,303
,,,2021 / 2022,238
,,,2022 / 2023,80
,,,2023 / 2024,44
,,20 to 24 years,2014 / 2015,-401
,,,2015 / 2016,-195
,,,2016 / 2017,-59
,,,2017 / 2018,82
,,,2018 / 2019,105
,,,2019 / 2020,430
,,,2020 / 2021,925
,,,2021 / 2022,508
,,,2022 / 2023,330
,,,2023 / 2024,170
,,25 to 29 years,2014 / 2015,-188
,,,2015 / 2016,133
,,,2016 / 2017,169
,,,2017 / 2018,154
,,,2018 / 2019,189
,,,2019 / 2020,314
,,,2020 / 2021,604
,,,2021 / 2022,420
,,,2022 / 2023,63
,,,2023 / 2024,-108
,,30 to 34 years,2014 / 2015,-121
,,,2015 / 2016,86
,,,2016 / 2017,198
,,,2017 / 2018,197
,,,2018 / 2019,203
,,,2019 / 2020,301
,,,2020 / 2021,465
,,,2021 / 2022,621
,,,2022 / 2023,274
,,,2023 / 2024,40
,,35 to 39 years,2014 / 2015,-151
,,,2015 / 2016,-1
,,,2016 / 2017,102
,,,2017 / 2018,94
,,,2018 / 2019,118
,,,2019 / 2020,161
,,,2020 / 2021,280
,,,2021 / 2022,576
,,,2022 / 2023,322
,,,2023 / 2024,102
,,40 to 44 years,2014 / 2015,-127
,,,2015 / 2016,-6
,,,2016 / 2017,110
,,,2017 / 2018,111
,,,2018 / 2019,123
,,,2019 / 2020,158
,,,2020 / 2021,236
,,,2021 / 2022,402
,,,2022 / 2023,309
,,,2023 / 2024,111
,,45 to 49 years,2014 / 2015,-72
,,,2015 / 2016,-29
,,,2016 / 2017,65
,,,2017 / 2018,118
,,,2018 / 2019,161
,,,2019 / 2020,176
,,,2020 / 2021,206
,,,2021 / 2022,347
,,,2022 / 2023,273
,,,2023 / 2024,127
,,50 to 54 years,2014 / 2015,41
,,,2015 / 2016,62
,,,2016 / 2017,119
,,,2017 / 2018,172
,,,2018 / 2019,208
,,,2019 / 2020,219
,,,2020 / 2021,248
,,,2021 / 2022,445
,,,2022 / 2023,294
,,,2023 / 2024,157
,,55 to 59 years,2014 / 2015,31
,,,2015 / 2016,54
,,,2016 / 2017,103
,,,2017 / 2018,162
,,,2018 / 2019,189
,,,2019 / 2020,198
,,,2020 / 2021,232
,,,2021 / 2022,496
,,,2022 / 2023,437
,,,2023 / 2024,209
,,60 to 64 years,2014 / 2015,60
,,,2015 / 2016,80
,,,2016 / 2017,95
,,,2017 / 2018,140
,,,2018 / 2019,181
,,,2019 / 2020,185
,,,2020 / 2021,201
,,,2021 / 2022,529
,,,2022 / 2023,371
,,,2023 / 2024,210
,,65 to 69 years,2014 / 2015,31
,,,2015 / 2016,26
,,,2016 / 2017,60
,,,2017 / 2018,74
,,,2018 / 2019,75
,,,2019 / 2020,78
,,,2020 / 2021,128
,,,2021 / 2022,316
,,,2022 / 2023,165
,,,2023 / 2024,88
,,70 to 74 years,2014 / 2015,18
,,,2015 / 2016,2
,,,2016 / 2017,26
,,,2017 / 2018,36
,,,2018 / 2019,40
,,,2019 / 2020,38
,,,2020 / 2021,60
,,,2021 / 2022,143
,,,2022 / 2023,72
,,,2023 / 2024,22
,,75 to 79 years,2014 / 2015,-73
,,,2015 / 2016,-103
,,,2016 / 2017,41
,,,2017 / 2018,44
,,,2018 / 2019,44
,,,2019 / 2020,47
,,,2020 / 2021,61
,,,2021 / 2022,33
,,,2022 / 2023,52
,,,2023 / 2024,6
,,80 to 84 years,2014 / 2015,36
,,,2015 / 2016,31
,,,2016 / 2017,18
,,,2017 / 2018,17
,,,2018 / 2019,21
,,,2019 / 2020,25
,,,2020 / 2021,32
,,,2021 / 2022,7
,,,2022 / 2023,23
,,,2023 / 2024,-5
,,85 to 89 years,2014 / 2015,8
,,,2015 / 2016,10
,,,2016 / 2017,5
,,,2017 / 2018,3
,,,2018 / 2019,7
,,,2019 / 2020,7
,,,2020 / 2021,14
,,,2021 / 2022,4
,,,2022 / 2023,-1
,,,2023 / 2024,-14
,,90 years and older,2014 / 2015,12
,,,2015 / 2016,9
,,,2016 / 2017,0
,,,2017 / 2018,0
,,,2018 / 2019,1
,,,2019 / 2020,4
,,,2020 / 2021,12
,,,2021 / 2022,2
,,,2022 / 2023,9
,,,2023 / 2024,0
New Brunswick,Men,0 years,2014 / 2015,-47
,,,2015 / 2016,-38
,,,2016 / 2017,17
,,,2017 / 2018,12
,,,2018 / 2019,19
,,,2019 / 2020,16
,,,2020 / 2021,24
,,,2021 / 2022,35
,,,2022 / 2023,43
,,,2023 / 2024,19
,,1 year,2014 / 2015,-25
,,,2015 / 2016,-19
,,,2016 / 2017,21
,,,2017 / 2018,13
,,,2018 / 2019,24
,,,2019 / 2020,17
,,,2020 / 2021,32
,,,2021 / 2022,64
,,,2022 / 2023,27
,,,2023 / 2024,24
,,2 years,2014 / 2015,-12
,,,2015 / 2016,-6
,,,2016 / 2017,21
,,,2017 / 2018,15
,,,2018 / 2019,25
,,,2019 / 2020,20
,,,2020 / 2021,33
,,,2021 / 2022,72
,,,2022 / 2023,60
,,,2023 / 2024,29
,,3 years,2014 / 2015,0
,,,2015 / 2016,10
,,,2016 / 2017,21
,,,2017 / 2018,15
,,,2018 / 2019,26
,,,2019 / 2020,23
,,,2020 / 2021,35
,,,2021 / 2022,90
,,,2022 / 2023,35
,,,2023 / 2024,29
,,4 years,2014 / 2015,8
,,,2015 / 2016,16
,,,2016 / 2017,20
,,,2017 / 2018,16
,,,2018 / 2019,26
,,,2019 / 2020,22
,,,2020 / 2021,34
,,,2021 / 2022,50
,,,2022 / 2023,73
,,,2023 / 2024,32
,,5 to 9 years,2014 / 2015,85
,,,2015 / 2016,113
,,,2016 / 2017,82
,,,2017 / 2018,66
,,,2018 / 2019,99
,,,2019 / 2020,76
,,,2020 / 2021,123
,,,2021 / 2022,266
,,,2022 / 2023,238
,,,2023 / 2024,100
,,10 to 14 years,2014 / 2015,14
,,,2015 / 2016,39
,,,2016 / 2017,27
,,,2017 / 2018,3
,,,2018 / 2019,32
,,,2019 / 2020,17
,,,2020 / 2021,48
,,,2021 / 2022,248
,,,2022 / 2023,220
,,,2023 / 2024,89
,,15 to 19 years,2014 / 2015,-140
,,,2015 / 2016,-86
,,,2016 / 2017,-56
,,,2017 / 2018,-98
,,,2018 / 2019,-31
,,,2019 / 2020,-10
,,,2020 / 2021,128
,,,2021 / 2022,224
,,,2022 / 2023,100
,,,2023 / 2024,57
,,20 to 24 years,2014 / 2015,-535
,,,2015 / 2016,-390
,,,2016 / 2017,-169
,,,2017 / 2018,-287
,,,2018 / 2019,-119
,,,2019 / 2020,42
,,,2020 / 2021,569
,,,2021 / 2022,144
,,,2022 / 2023,-108
,,,2023 / 2024,40
,,25 to 29 years,2014 / 2015,-468
,,,2015 / 2016,-245
,,,2016 / 2017,-11
,,,2017 / 2018,-20
,,,2018 / 2019,41
,,,2019 / 2020,42
,,,2020 / 2021,235
,,,2021 / 2022,67
,,,2022 / 2023,-150
,,,2023 / 2024,-180
,,30 to 34 years,2014 / 2015,-113
,,,2015 / 2016,16
,,,2016 / 2017,16
,,,2017 / 2018,8
,,,2018 / 2019,59
,,,2019 / 2020,45
,,,2020 / 2021,180
,,,2021 / 2022,205
,,,2022 / 2023,147
,,,2023 / 2024,-10
,,35 to 39 years,2014 / 2015,-105
,,,2015 / 2016,-4
,,,2016 / 2017,-64
,,,2017 / 2018,-68
,,,2018 / 2019,-28
,,,2019 / 2020,-47
,,,2020 / 2021,69
,,,2021 / 2022,316
,,,2022 / 2023,187
,,,2023 / 2024,102
,,40 to 44 years,2014 / 2015,-218
,,,2015 / 2016,-120
,,,2016 / 2017,35
,,,2017 / 2018,26
,,,2018 / 2019,45
,,,2019 / 2020,55
,,,2020 / 2021,115
,,,2021 / 2022,254
,,,2022 / 2023,228
,,,2023 / 2024,100
,,45 to 49 years,2014 / 2015,-48
,,,2015 / 2016,-19
,,,2016 / 2017,35
,,,2017 / 2018,51
,,,2018 / 2019,88
,,,2019 / 2020,90
,,,2020 / 2021,137
,,,2021 / 2022,183
,,,2022 / 2023,166
,,,2023 / 2024,54
,,50 to 54 years,2014 / 2015,11
,,,2015 / 2016,35
,,,2016 / 2017,32
,,,2017 / 2018,54
,,,2018 / 2019,87
,,,2019 / 2020,82
,,,2020 / 2021,121
,,,2021 / 2022,252
,,,2022 / 2023,193
,,,2023 / 2024,136
,,55 to 59 years,2014 / 2015,46
,,,2015 / 2016,76
,,,2016 / 2017,71
,,,2017 / 2018,90
,,,2018 / 2019,118
,,,2019 / 2020,116
,,,2020 / 2021,150
,,,2021 / 2022,395
,,,2022 / 2023,328
,,,2023 / 2024,237
,,60 to 64 years,2014 / 2015,-55
,,,2015 / 2016,-33
,,,2016 / 2017,124
,,,2017 / 2018,145
,,,2018 / 2019,168
,,,2019 / 2020,174
,,,2020 / 2021,181
,,,2021 / 2022,362
,,,2022 / 2023,390
,,,2023 / 2024,253
,,65 to 69 years,2014 / 2015,32
,,,2015 / 2016,52
,,,2016 / 2017,50
,,,2017 / 2018,43
,,,2018 / 2019,67
,,,2019 / 2020,73
,,,2020 / 2021,95
,,,2021 / 2022,254
,,,2022 / 2023,244
,,,2023 / 2024,159
,,70 to 74 years,2014 / 2015,29
,,,2015 / 2016,39
,,,2016 / 2017,15
,,,2017 / 2018,14
,,,2018 / 2019,25
,,,2019 / 2020,33
,,,2020 / 2021,39
,,,2021 / 2022,179
,,,2022 / 2023,111
,,,2023 / 2024,84
,,75 to 79 years,2014 / 2015,-29
,,,2015 / 2016,-13
,,,2016 / 2017,34
,,,2017 / 2018,32
,,,2018 / 2019,43
,,,2019 / 2020,47
,,,2020 / 2021,55
,,,2021 / 2022,67
,,,2022 / 2023,37
,,,2023 / 2024,21
,,80 to 84 years,2014 / 2015,34
,,,2015 / 2016,36
,,,2016 / 2017,15
,,,2017 / 2018,13
,,,2018 / 2019,11
,,,2019 / 2020,17
,,,2020 / 2021,23
,,,2021 / 2022,19
,,,2022 / 2023,16
,,,2023 / 2024,2
,,85 to 89 years,2014 / 2015,-19
,,,2015 / 2016,-18
,,,2016 / 2017,8
,,,2017 / 2018,1
,,,2018 / 2019,13
,,,2019 / 2020,10
,,,2020 / 2021,11
,,,2021 / 2022,-1
,,,2022 / 2023,2
,,,2023 / 2024,-5
,,90 years and older,2014 / 2015,-3
,,,2015 / 2016,-3
,,,2016 / 2017,1
,,,2017 / 2018,1
,,,2018 / 2019,2
,,,2019 / 2020,3
,,,2020 / 2021,3
,,,2021 / 2022,9
,,,2022 / 2023,3
,,,2023 / 2024,4
,Women,0 years,2014 / 2015,43
,,,2015 / 2016,60
,,,2016 / 2017,23
,,,2017 / 2018,34
,,,2018 / 2019,34
,,,2019 / 2020,35
,,,2020 / 2021,37
,,,2021 / 2022,66
,,,2022 / 2023,56
,,,2023 / 2024,25
,,1 year,2014 / 2015,23
,,,2015 / 2016,36
,,,2016 / 2017,13
,,,2017 / 2018,23
,,,2018 / 2019,25
,,,2019 / 2020,26
,,,2020 / 2021,28
,,,2021 / 2022,47
,,,2022 / 2023,67
,,,2023 / 2024,24
,,2 years,2014 / 2015,7
,,,2015 / 2016,21
,,,2016 / 2017,5
,,,2017 / 2018,19
,,,2018 / 2019,19
,,,2019 / 2020,18
,,,2020 / 2021,25
,,,2021 / 2022,60
,,,2022 / 2023,68
,,,2023 / 2024,36
,,3 years,2014 / 2015,-7
,,,2015 / 2016,10
,,,2016 / 2017,0
,,,2017 / 2018,11
,,,2018 / 2019,14
,,,2019 / 2020,14
,,,2020 / 2021,23
,,,2021 / 2022,66
,,,2022 / 2023,31
,,,2023 / 2024,19
,,4 years,2014 / 2015,-16
,,,2015 / 2016,1
,,,2016 / 2017,-3
,,,2017 / 2018,9
,,,2018 / 2019,11
,,,2019 / 2020,11
,,,2020 / 2021,20
,,,2021 / 2022,89
,,,2022 / 2023,27
,,,2023 / 2024,23
,,5 to 9 years,2014 / 2015,-65
,,,2015 / 2016,-4
,,,2016 / 2017,-13
,,,2017 / 2018,31
,,,2018 / 2019,47
,,,2019 / 2020,32
,,,2020 / 2021,72
,,,2021 / 2022,303
,,,2022 / 2023,131
,,,2023 / 2024,82
,,10 to 14 years,2014 / 2015,-3
,,,2015 / 2016,44
,,,2016 / 2017,19
,,,2017 / 2018,54
,,,2018 / 2019,70
,,,2019 / 2020,56
,,,2020 / 2021,89
,,,2021 / 2022,241
,,,2022 / 2023,183
,,,2023 / 2024,87
,,15 to 19 years,2014 / 2015,-218
,,,2015 / 2016,-155
,,,2016 / 2017,-32
,,,2017 / 2018,-24
,,,2018 / 2019,13
,,,2019 / 2020,24
,,,2020 / 2021,124
,,,2021 / 2022,170
,,,2022 / 2023,129
,,,2023 / 2024,53
,,20 to 24 years,2014 / 2015,-466
,,,2015 / 2016,-370
,,,2016 / 2017,-225
,,,2017 / 2018,-308
,,,2018 / 2019,-176
,,,2019 / 2020,-120
,,,2020 / 2021,301
,,,2021 / 2022,153
,,,2022 / 2023,-209
,,,2023 / 2024,-55
,,25 to 29 years,2014 / 2015,-301
,,,2015 / 2016,-176
,,,2016 / 2017,49
,,,2017 / 2018,93
,,,2018 / 2019,176
,,,2019 / 2020,145
,,,2020 / 2021,328
,,,2021 / 2022,204
,,,2022 / 2023,-28
,,,2023 / 2024,-83
,,30 to 34 years,2014 / 2015,-146
,,,2015 / 2016,-74
,,,2016 / 2017,6
,,,2017 / 2018,39
,,,2018 / 2019,97
,,,2019 / 2020,60
,,,2020 / 2021,193
,,,2021 / 2022,286
,,,2022 / 2023,251
,,,2023 / 2024,91
,,35 to 39 years,2014 / 2015,-68
,,,2015 / 2016,-12
,,,2016 / 2017,-32
,,,2017 / 2018,-1
,,,2018 / 2019,30
,,,2019 / 2020,16
,,,2020 / 2021,107
,,,2021 / 2022,315
,,,2022 / 2023,216
,,,2023 / 2024,127
,,40 to 44 years,2014 / 2015,-70
,,,2015 / 2016,-40
,,,2016 / 2017,-96
,,,2017 / 2018,-72
,,,2018 / 2019,-39
,,,2019 / 2020,-69
,,,2020 / 2021,23
,,,2021 / 2022,339
,,,2022 / 2023,249
,,,2023 / 2024,152
,,45 to 49 years,2014 / 2015,-49
,,,2015 / 2016,-55
,,,2016 / 2017,37
,,,2017 / 2018,45
,,,2018 / 2019,54
,,,2019 / 2020,72
,,,2020 / 2021,117
,,,2021 / 2022,239
,,,2022 / 2023,167
,,,2023 / 2024,83
,,50 to 54 years,2014 / 2015,80
,,,2015 / 2016,94
,,,2016 / 2017,81
,,,2017 / 2018,82
,,,2018 / 2019,97
,,,2019 / 2020,115
,,,2020 / 2021,163
,,,2021 / 2022,325
,,,2022 / 2023,193
,,,2023 / 2024,160
,,55 to 59 years,2014 / 2015,41
,,,2015 / 2016,59
,,,2016 / 2017,110
,,,2017 / 2018,116
,,,2018 / 2019,130
,,,2019 / 2020,157
,,,2020 / 2021,173
,,,2021 / 2022,411
,,,2022 / 2023,332
,,,2023 / 2024,237
,,60 to 64 years,2014 / 2015,-24
,,,2015 / 2016,-16
,,,2016 / 2017,82
,,,2017 / 2018,92
,,,2018 / 2019,95
,,,2019 / 2020,121
,,,2020 / 2021,133
,,,2021 / 2022,374
,,,2022 / 2023,288
,,,2023 / 2024,223
,,65 to 69 years,2014 / 2015,14
,,,2015 / 2016,19
,,,2016 / 2017,38
,,,2017 / 2018,54
,,,2018 / 2019,61
,,,2019 / 2020,77
,,,2020 / 2021,85
,,,2021 / 2022,261
,,,2022 / 2023,187
,,,2023 / 2024,125
,,70 to 74 years,2014 / 2015,-65
,,,2015 / 2016,-76
,,,2016 / 2017,27
,,,2017 / 2018,26
,,,2018 / 2019,34
,,,2019 / 2020,42
,,,2020 / 2021,47
,,,2021 / 2022,96
,,,2022 / 2023,71
,,,2023 / 2024,23
,,75 to 79 years,2014 / 2015,10
,,,2015 / 2016,6
,,,2016 / 2017,-37
,,,2017 / 2018,-32
,,,2018 / 2019,-21
,,,2019 / 2020,-29
,,,2020 / 2021,-21
,,,2021 / 2022,43
,,,2022 / 2023,39
,,,2023 / 2024,7
,,80 to 84 years,2014 / 2015,38
,,,2015 / 2016,46
,,,2016 / 2017,5
,,,2017 / 2018,10
,,,2018 / 2019,12
,,,2019 / 2020,12
,,,2020 / 2021,17
,,,2021 / 2022,31
,,,2022 / 2023,1
,,,2023 / 2024,1
,,85 to 89 years,2014 / 2015,7
,,,2015 / 2016,10
,,,2016 / 2017,10
,,,2017 / 2018,13
,,,2018 / 2019,17
,,,2019 / 2020,19
,,,2020 / 2021,22
,,,2021 / 2022,6
,,,2022 / 2023,10
,,,2023 / 2024,-4
,,90 years and older,2014 / 2015,6
,,,2015 / 2016,9
,,,2016 / 2017,1
,,,2017 / 2018,1
,,,2018 / 2019,3
,,,2019 / 2020,4
,,,2020 / 2021,9
,,,2021 / 2022,5
,,,2022 / 2023,-3
,,,2023 / 2024,-9
Quebec,Men,0 years,2014 / 2015,-55
,,,2015 / 2016,-34
,,,2016 / 2017,-92
,,,2017 / 2018,-73
,,,2018 / 2019,-53
,,,2019 / 2020,-63
,,,2020 / 2021,-41
,,,2021 / 2022,56
,,,2022 / 2023,-10
,,,2023 / 2024,28
,,1 year,2014 / 2015,-92
,,,2015 / 2016,-65
,,,2016 / 2017,-85
,,,2017 / 2018,-63
,,,2018 / 2019,-50
,,,2019 / 2020,-56
,,,2020 / 2021,-36
,,,2021 / 2022,-5
,,,2022 / 2023,-38
,,,2023 / 2024,9
,,2 years,2014 / 2015,-114
,,,2015 / 2016,-86
,,,2016 / 2017,-80
,,,2017 / 2018,-59
,,,2018 / 2019,-43
,,,2019 / 2020,-48
,,,2020 / 2021,-30
,,,2021 / 2022,-15
,,,2022 / 2023,-36
,,,2023 / 2024,-11
,,3 years,2014 / 2015,-127
,,,2015 / 2016,-104
,,,2016 / 2017,-74
,,,2017 / 2018,-54
,,,2018 / 2019,-43
,,,2019 / 2020,-46
,,,2020 / 2021,-29
,,,2021 / 2022,-51
,,,2022 / 2023,-75
,,,2023 / 2024,-34
,,4 years,2014 / 2015,-132
,,,2015 / 2016,-108
,,,2016 / 2017,-70
,,,2017 / 2018,-51
,,,2018 / 2019,-38
,,,2019 / 2020,-42
,,,2020 / 2021,-28
,,,2021 / 2022,-59
,,,2022 / 2023,-85
,,,2023 / 2024,-38
,,5 to 9 years,2014 / 2015,-562
,,,2015 / 2016,-469
,,,2016 / 2017,-315
,,,2017 / 2018,-231
,,,2018 / 2019,-179
,,,2019 / 2020,-198
,,,2020 / 2021,-124
,,,2021 / 2022,-200
,,,2022 / 2023,-452
,,,2023 / 2024,-232
,,10 to 14 years,2014 / 2015,-281
,,,2015 / 2016,-229
,,,2016 / 2017,-226
,,,2017 / 2018,-172
,,,2018 / 2019,-146
,,,2019 / 2020,-161
,,,2020 / 2021,-114
,,,2021 / 2022,-253
,,,2022 / 2023,-276
,,,2023 / 2024,-179
,,15 to 19 years,2014 / 2015,-523
,,,2015 / 2016,-358
,,,2016 / 2017,-51
,,,2017 / 2018,-12
,,,2018 / 2019,3
,,,2019 / 2020,34
,,,2020 / 2021,-12
,,,2021 / 2022,-82
,,,2022 / 2023,-177
,,,2023 / 2024,-74
,,20 to 24 years,2014 / 2015,-894
,,,2015 / 2016,-381
,,,2016 / 2017,-245
,,,2017 / 2018,-235
,,,2018 / 2019,-275
,,,2019 / 2020,-157
,,,2020 / 2021,-393
,,,2021 / 2022,"-1,273"
,,,2022 / 2023,"-1,632"
,,,2023 / 2024,-818
,,25 to 29 years,2014 / 2015,"-1,269"
,,,2015 / 2016,-742
,,,2016 / 2017,-446
,,,2017 / 2018,-205
,,,2018 / 2019,-37
,,,2019 / 2020,-51
,,,2020 / 2021,-23
,,,2021 / 2022,"-1,215"
,,,2022 / 2023,"-1,159"
,,,2023 / 2024,-676
,,30 to 34 years,2014 / 2015,"-1,357"
,,,2015 / 2016,-974
,,,2016 / 2017,-630
,,,2017 / 2018,-465
,,,2018 / 2019,-339
,,,2019 / 2020,-416
,,,2020 / 2021,-358
,,,2021 / 2022,-279
,,,2022 / 2023,-293
,,,2023 / 2024,-57
,,35 to 39 years,2014 / 2015,-985
,,,2015 / 2016,-702
,,,2016 / 2017,-689
,,,2017 / 2018,-553
,,,2018 / 2019,-456
,,,2019 / 2020,-546
,,,2020 / 2021,-473
,,,2021 / 2022,-258
,,,2022 / 2023,-503
,,,2023 / 2024,-201
,,40 to 44 years,2014 / 2015,-526
,,,2015 / 2016,-315
,,,2016 / 2017,-373
,,,2017 / 2018,-268
,,,2018 / 2019,-212
,,,2019 / 2020,-257
,,,2020 / 2021,-217
,,,2021 / 2022,-261
,,,2022 / 2023,-392
,,,2023 / 2024,-203
,,45 to 49 years,2014 / 2015,-460
,,,2015 / 2016,-304
,,,2016 / 2017,-264
,,,2017 / 2018,-171
,,,2018 / 2019,-177
,,,2019 / 2020,-177
,,,2020 / 2021,-79
,,,2021 / 2022,-172
,,,2022 / 2023,-302
,,,2023 / 2024,-131
,,50 to 54 years,2014 / 2015,-353
,,,2015 / 2016,-239
